Diagnóstico principal (CIE9MC);Urgencia del ingreso y sexo;Total
270-279 III.4 OTROS TRASTORNOS METABÓLICOS Y DE INMUNIDAD;Casos ordinarios:Hombres;5,39
270-279 III.4 OTROS TRASTORNOS METABÓLICOS Y DE INMUNIDAD;Casos ordinarios:Mujeres;4,43
270-279 III.4 OTROS TRASTORNOS METABÓLICOS Y DE INMUNIDAD;Casos urgentes:Ambos sexos;7,04
270-279 III.4 OTROS TRASTORNOS METABÓLICOS Y DE INMUNIDAD;Casos urgentes:Hombres;7,11
270-279 III.4 OTROS TRASTORNOS METABÓLICOS Y DE INMUNIDAD;Casos urgentes:Mujeres;6,99
280-289 IV ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYÉTICOS;Total;6,71
280-289 IV ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYÉTICOS;Casos ordinarios:Ambos sexos;6,18
280-289 IV ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYÉTICOS;Casos ordinarios:Hombres;6,20
280-289 IV ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYÉTICOS;Casos ordinarios:Mujeres;6,16
280-289 IV ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYÉTICOS;Casos urgentes:Ambos sexos;6,81
280-289 IV ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYÉTICOS;Casos urgentes:Hombres;7,03
280-289 IV ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYÉTICOS;Casos urgentes:Mujeres;6,60
280-285 Anemias;Total;6,99
280-285 Anemias;Casos ordinarios:Ambos sexos;6,44
280-285 Anemias;Casos ordinarios:Hombres;6,30
280-285 Anemias;Casos ordinarios:Mujeres;6,56
280-285 Anemias;Casos urgentes:Ambos sexos;7,10
280-285 Anemias;Casos urgentes:Hombres;7,23
280-285 Anemias;Casos urgentes:Mujeres;6,99
Resto (280-289) Otras enfermedades de la sangre y de los órganos hematopoyéticos;Total;6,31
Resto (280-289) Otras enfermedades de la sangre y de los órganos hematopoyéticos;Casos ordinarios:Ambos sexos;5,77
Resto (280-289) Otras enfermedades de la sangre y de los órganos hematopoyéticos;Casos ordinarios:Hombres;6,03
Resto (280-289) Otras enfermedades de la sangre y de los órganos hematopoyéticos;Casos ordinarios:Mujeres;5,53
Resto (280-289) Otras enfermedades de la sangre y de los órganos hematopoyéticos;Casos urgentes:Ambos sexos;6,41
Resto (280-289) Otras enfermedades de la sangre y de los órganos hematopoyéticos;Casos urgentes:Hombres;6,77
Resto (280-289) Otras enfermedades de la sangre y de los órganos hematopoyéticos;Casos urgentes:Mujeres;6,03
290-319 V TRASTORNOS MENTALES;Total;26,28
290-319 V TRASTORNOS MENTALES;Casos ordinarios:Ambos sexos;55,01
290-319 V TRASTORNOS MENTALES;Casos ordinarios:Hombres;62,67
290-319 V TRASTORNOS MENTALES;Casos ordinarios:Mujeres;46,32
290-319 V TRASTORNOS MENTALES;Casos urgentes:Ambos sexos;15,12
290-319 V TRASTORNOS MENTALES;Casos urgentes:Hombres;15,22
290-319 V TRASTORNOS MENTALES;Casos urgentes:Mujeres;15,01
290-299,303-305 V.1 PSICOSIS ORGÁNICAS, OTRAS PSICOSIS Y TRASTORNOS MENTALES DEBIDOS AL USO DE DROGAS O ALCOHOL;Total;24,45
290-299,303-305 V.1 PSICOSIS ORGÁNICAS, OTRAS PSICOSIS Y TRASTORNOS MENTALES DEBIDOS AL USO DE DROGAS O ALCOHOL;Casos ordinarios:Ambos sexos;43,73
290-299,303-305 V.1 PSICOSIS ORGÁNICAS, OTRAS PSICOSIS Y TRASTORNOS MENTALES DEBIDOS AL USO DE DROGAS O ALCOHOL;Casos ordinarios:Hombres;44,08
290-299,303-305 V.1 PSICOSIS ORGÁNICAS, OTRAS PSICOSIS Y TRASTORNOS MENTALES DEBIDOS AL USO DE DROGAS O ALCOHOL;Casos ordinarios:Mujeres;43,25
290-299,303-305 V.1 PSICOSIS ORGÁNICAS, OTRAS PSICOSIS Y TRASTORNOS MENTALES DEBIDOS AL USO DE DROGAS O ALCOHOL;Casos urgentes:Ambos sexos;16,61
290-299,303-305 V.1 PSICOSIS ORGÁNICAS, OTRAS PSICOSIS Y TRASTORNOS MENTALES DEBIDOS AL USO DE DROGAS O ALCOHOL;Casos urgentes:Hombres;16,39
290-299,303-305 V.1 PSICOSIS ORGÁNICAS, OTRAS PSICOSIS Y TRASTORNOS MENTALES DEBIDOS AL USO DE DROGAS O ALCOHOL;Casos urgentes:Mujeres;16,91
290 Demencia senil, presenil y vascular;Total;57,41
290 Demencia senil, presenil y vascular;Casos ordinarios:Ambos sexos;89,79
290 Demencia senil, presenil y vascular;Casos ordinarios:Hombres;97,32
290 Demencia senil, presenil y vascular;Casos ordinarios:Mujeres;84,35
290 Demencia senil, presenil y vascular;Casos urgentes:Ambos sexos;15,55
290 Demencia senil, presenil y vascular;Casos urgentes:Hombres;15,78
290 Demencia senil, presenil y vascular;Casos urgentes:Mujeres;15,36
295 Trastornos esquizofrénicos;Total;37,36
295 Trastornos esquizofrénicos;Casos ordinarios:Ambos sexos;80,66
295 Trastornos esquizofrénicos;Casos ordinarios:Hombres;84,64
295 Trastornos esquizofrénicos;Casos ordinarios:Mujeres;73,49
295 Trastornos esquizofrénicos;Casos urgentes:Ambos sexos;21,23
295 Trastornos esquizofrénicos;Casos urgentes:Hombres;21,05
295 Trastornos esquizofrénicos;Casos urgentes:Mujeres;21,55
291,303 Psicosis alcohólicas y síndrome de dependencia del alcohol;Total;13,22
291,303 Psicosis alcohólicas y síndrome de dependencia del alcohol;Casos ordinarios:Ambos sexos;16,51
291,303 Psicosis alcohólicas y síndrome de dependencia del alcohol;Casos ordinarios:Hombres;16,22
291,303 Psicosis alcohólicas y síndrome de dependencia del alcohol;Casos ordinarios:Mujeres;17,22
291,303 Psicosis alcohólicas y síndrome de dependencia del alcohol;Casos urgentes:Ambos sexos;10,66
291,303 Psicosis alcohólicas y síndrome de dependencia del alcohol;Casos urgentes:Hombres;10,53
291,303 Psicosis alcohólicas y síndrome de dependencia del alcohol;Casos urgentes:Mujeres;11,10
292,304-305 Psicosis por drogas, dependencia de drogas y abuso de drogas sin dependencia;Total;11,26
292,304-305 Psicosis por drogas, dependencia de drogas y abuso de drogas sin dependencia;Casos ordinarios:Ambos sexos;13,03
292,304-305 Psicosis por drogas, dependencia de drogas y abuso de drogas sin dependencia;Casos ordinarios:Hombres;12,85
292,304-305 Psicosis por drogas, dependencia de drogas y abuso de drogas sin dependencia;Casos ordinarios:Mujeres;13,58
292,304-305 Psicosis por drogas, dependencia de drogas y abuso de drogas sin dependencia;Casos urgentes:Ambos sexos;9,67
292,304-305 Psicosis por drogas, dependencia de drogas y abuso de drogas sin dependencia;Casos urgentes:Hombres;9,87
292,304-305 Psicosis por drogas, dependencia de drogas y abuso de drogas sin dependencia;Casos urgentes:Mujeres;9,18
293-294,296-299 Otras psicosis;Total;18,71
293-294,296-299 Otras psicosis;Casos ordinarios:Ambos sexos;29,16
293-294,296-299 Otras psicosis;Casos ordinarios:Hombres;29,29
293-294,296-299 Otras psicosis;Casos ordinarios:Mujeres;29,06
293-294,296-299 Otras psicosis;Casos urgentes:Ambos sexos;15,94
293-294,296-299 Otras psicosis;Casos urgentes:Hombres;15,62
293-294,296-299 Otras psicosis;Casos urgentes:Mujeres;16,22
300-302,306-319 V.2 TRASTORNOS NEURÓTICOS, DE LA PERSONALIDAD Y OTROS NO PSICÓTICOS (EXCEPTO DROGAS O ALCOHOL). RETRASO MENTAL;Total;30,73
300-302,306-319 V.2 TRASTORNOS NEURÓTICOS, DE LA PERSONALIDAD Y OTROS NO PSICÓTICOS (EXCEPTO DROGAS O ALCOHOL). RETRASO MENTAL;Casos ordinarios:Ambos sexos;85,70
300-302,306-319 V.2 TRASTORNOS NEURÓTICOS, DE LA PERSONALIDAD Y OTROS NO PSICÓTICOS (EXCEPTO DROGAS O ALCOHOL). RETRASO MENTAL;Casos ordinarios:Hombres;137,94
300-302,306-319 V.2 TRASTORNOS NEURÓTICOS, DE LA PERSONALIDAD Y OTROS NO PSICÓTICOS (EXCEPTO DROGAS O ALCOHOL). RETRASO MENTAL;Casos ordinarios:Mujeres;52,05
300-302,306-319 V.2 TRASTORNOS NEURÓTICOS, DE LA PERSONALIDAD Y OTROS NO PSICÓTICOS (EXCEPTO DROGAS O ALCOHOL). RETRASO MENTAL;Casos urgentes:Ambos sexos;11,64
300-302,306-319 V.2 TRASTORNOS NEURÓTICOS, DE LA PERSONALIDAD Y OTROS NO PSICÓTICOS (EXCEPTO DROGAS O ALCOHOL). RETRASO MENTAL;Casos urgentes:Hombres;11,52
300-302,306-319 V.2 TRASTORNOS NEURÓTICOS, DE LA PERSONALIDAD Y OTROS NO PSICÓTICOS (EXCEPTO DROGAS O ALCOHOL). RETRASO MENTAL;Casos urgentes:Mujeres;11,73
300-302,306-316 Trastornos neuróticos, de la personalidad y otros trastornos mentales no psicóticos (excepto drogas o alcohol);Total;13,48
300-302,306-316 Trastornos neuróticos, de la personalidad y otros trastornos mentales no psicóticos (excepto drogas o alcohol);Casos ordinarios:Ambos sexos;21,32
300-302,306-316 Trastornos neuróticos, de la personalidad y otros trastornos mentales no psicóticos (excepto drogas o alcohol);Casos ordinarios:Hombres;18,47
300-302,306-316 Trastornos neuróticos, de la personalidad y otros trastornos mentales no psicóticos (excepto drogas o alcohol);Casos ordinarios:Mujeres;23,01
300-302,306-316 Trastornos neuróticos, de la personalidad y otros trastornos mentales no psicóticos (excepto drogas o alcohol);Casos urgentes:Ambos sexos;10,87
300-302,306-316 Trastornos neuróticos, de la personalidad y otros trastornos mentales no psicóticos (excepto drogas o alcohol);Casos urgentes:Hombres;9,88
300-302,306-316 Trastornos neuróticos, de la personalidad y otros trastornos mentales no psicóticos (excepto drogas o alcohol);Casos urgentes:Mujeres;11,54
Resto (300-302,306-319) Otros trastornos mentales y retraso mental;Total;512,22
Resto (300-302,306-319) Otros trastornos mentales y retraso mental;Casos ordinarios:Ambos sexos;1.007,63
Resto (300-302,306-319) Otros trastornos mentales y retraso mental;Casos ordinarios:Hombres;1.060,72
Resto (300-302,306-319) Otros trastornos mentales y retraso mental;Casos ordinarios:Mujeres;890,54
Resto (300-302,306-319) Otros trastornos mentales y retraso mental;Casos urgentes:Ambos sexos;43,14
Resto (300-302,306-319) Otros trastornos mentales y retraso mental;Casos urgentes:Hombres;53,19
Resto (300-302,306-319) Otros trastornos mentales y retraso mental;Casos urgentes:Mujeres;24,49
320-389 VI ENFERMEDADES DEL SISTEMA NERVIOSO Y DE LOS ÓRGANOS DE LOS SENTIDOS;Total;6,48
320-389 VI ENFERMEDADES DEL SISTEMA NERVIOSO Y DE LOS ÓRGANOS DE LOS SENTIDOS;Casos ordinarios:Ambos sexos;5,72
320-389 VI ENFERMEDADES DEL SISTEMA NERVIOSO Y DE LOS ÓRGANOS DE LOS SENTIDOS;Casos ordinarios:Hombres;5,41
320-389 VI ENFERMEDADES DEL SISTEMA NERVIOSO Y DE LOS ÓRGANOS DE LOS SENTIDOS;Casos ordinarios:Mujeres;6,04
320-389 VI ENFERMEDADES DEL SISTEMA NERVIOSO Y DE LOS ÓRGANOS DE LOS SENTIDOS;Casos urgentes:Ambos sexos;7,23
320-389 VI ENFERMEDADES DEL SISTEMA NERVIOSO Y DE LOS ÓRGANOS DE LOS SENTIDOS;Casos urgentes:Hombres;7,41
320-389 VI ENFERMEDADES DEL SISTEMA NERVIOSO Y DE LOS ÓRGANOS DE LOS SENTIDOS;Casos urgentes:Mujeres;7,05
320-349 VI.1 ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL;Total;9,02
320-349 VI.1 ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL;Casos ordinarios:Ambos sexos;10,52
320-349 VI.1 ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL;Casos ordinarios:Hombres;9,28
320-349 VI.1 ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL;Casos ordinarios:Mujeres;11,91
320-349 VI.1 ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL;Casos urgentes:Ambos sexos;8,06
320-349 VI.1 ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL;Casos urgentes:Hombres;8,27
320-349 VI.1 ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL;Casos urgentes:Mujeres;7,85
332 Enfermedad de Parkinson;Total;12,51
332 Enfermedad de Parkinson;Casos ordinarios:Ambos sexos;15,01
332 Enfermedad de Parkinson;Casos ordinarios:Hombres;14,69
332 Enfermedad de Parkinson;Casos ordinarios:Mujeres;15,40
332 Enfermedad de Parkinson;Casos urgentes:Ambos sexos;8,99
332 Enfermedad de Parkinson;Casos urgentes:Hombres;8,46
332 Enfermedad de Parkinson;Casos urgentes:Mujeres;9,67
340 Esclerosis múltiple;Total;7,39
340 Esclerosis múltiple;Casos ordinarios:Ambos sexos;9,05
340 Esclerosis múltiple;Casos ordinarios:Hombres;8,75
340 Esclerosis múltiple;Casos ordinarios:Mujeres;9,18
340 Esclerosis múltiple;Casos urgentes:Ambos sexos;6,31
340 Esclerosis múltiple;Casos urgentes:Hombres;6,55
340 Esclerosis múltiple;Casos urgentes:Mujeres;6,20
345 Epilepsia y crisis recurrentes;Total;5,70
345 Epilepsia y crisis recurrentes;Casos ordinarios:Ambos sexos;5,11
345 Epilepsia y crisis recurrentes;Casos ordinarios:Hombres;4,91
345 Epilepsia y crisis recurrentes;Casos ordinarios:Mujeres;5,33
345 Epilepsia y crisis recurrentes;Casos urgentes:Ambos sexos;5,85
345 Epilepsia y crisis recurrentes;Casos urgentes:Hombres;5,74
345 Epilepsia y crisis recurrentes;Casos urgentes:Mujeres;5,99
Resto (320-349) Otras enfermedades del sistema nervioso central;Total;10,04
Resto (320-349) Otras enfermedades del sistema nervioso central;Casos ordinarios:Ambos sexos;11,11
Resto (320-349) Otras enfermedades del sistema nervioso central;Casos ordinarios:Hombres;9,55
Resto (320-349) Otras enfermedades del sistema nervioso central;Casos ordinarios:Mujeres;12,93
Resto (320-349) Otras enfermedades del sistema nervioso central;Casos urgentes:Ambos sexos;9,19
Resto (320-349) Otras enfermedades del sistema nervioso central;Casos urgentes:Hombres;9,74
Resto (320-349) Otras enfermedades del sistema nervioso central;Casos urgentes:Mujeres;8,70
350-359 VI.2 TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO;Total;6,35
350-359 VI.2 TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO;Casos ordinarios:Ambos sexos;4,03
350-359 VI.2 TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO;Casos ordinarios:Hombres;4,83
350-359 VI.2 TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO;Casos ordinarios:Mujeres;3,39
350-359 VI.2 TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO;Casos urgentes:Ambos sexos;9,98
350-359 VI.2 TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO;Casos urgentes:Hombres;10,55
350-359 VI.2 TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO;Casos urgentes:Mujeres;9,37
360-379 VI.3 TRASTORNOS DEL OJO Y DE LOS ANEXOS;Total;2,93
360-379 VI.3 TRASTORNOS DEL OJO Y DE LOS ANEXOS;Casos ordinarios:Ambos sexos;1,87
360-379 VI.3 TRASTORNOS DEL OJO Y DE LOS ANEXOS;Casos ordinarios:Hombres;1,91
360-379 VI.3 TRASTORNOS DEL OJO Y DE LOS ANEXOS;Casos ordinarios:Mujeres;1,83
360-379 VI.3 TRASTORNOS DEL OJO Y DE LOS ANEXOS;Casos urgentes:Ambos sexos;4,87
360-379 VI.3 TRASTORNOS DEL OJO Y DE LOS ANEXOS;Casos urgentes:Hombres;4,88
360-379 VI.3 TRASTORNOS DEL OJO Y DE LOS ANEXOS;Casos urgentes:Mujeres;4,86
366 Catarata;Total;1,38
366 Catarata;Casos ordinarios:Ambos sexos;1,36
366 Catarata;Casos ordinarios:Hombres;1,39
366 Catarata;Casos ordinarios:Mujeres;1,33
366 Catarata;Casos urgentes:Ambos sexos;1,53
366 Catarata;Casos urgentes:Hombres;1,52
366 Catarata;Casos urgentes:Mujeres;1,53
Resto (360-379) Otros trastornos del ojo y de los anexos;Total;3,25
Resto (360-379) Otros trastornos del ojo y de los anexos;Casos ordinarios:Ambos sexos;2,03
Resto (360-379) Otros trastornos del ojo y de los anexos;Casos ordinarios:Hombres;2,06
Resto (360-379) Otros trastornos del ojo y de los anexos;Casos ordinarios:Mujeres;2,00
Resto (360-379) Otros trastornos del ojo y de los anexos;Casos urgentes:Ambos sexos;5,07
Resto (360-379) Otros trastornos del ojo y de los anexos;Casos urgentes:Hombres;5,07
Resto (360-379) Otros trastornos del ojo y de los anexos;Casos urgentes:Mujeres;5,07
380-389 VI.4 ENFERMEDADES DEL OÍDO Y APÓFISIS MASTOIDES;Total;2,60
380-389 VI.4 ENFERMEDADES DEL OÍDO Y APÓFISIS MASTOIDES;Casos ordinarios:Ambos sexos;1,74
380-389 VI.4 ENFERMEDADES DEL OÍDO Y APÓFISIS MASTOIDES;Casos ordinarios:Hombres;1,73
380-389 VI.4 ENFERMEDADES DEL OÍDO Y APÓFISIS MASTOIDES;Casos ordinarios:Mujeres;1,75
380-389 VI.4 ENFERMEDADES DEL OÍDO Y APÓFISIS MASTOIDES;Casos urgentes:Ambos sexos;3,92
380-389 VI.4 ENFERMEDADES DEL OÍDO Y APÓFISIS MASTOIDES;Casos urgentes:Hombres;3,94
380-389 VI.4 ENFERMEDADES DEL OÍDO Y APÓFISIS MASTOIDES;Casos urgentes:Mujeres;3,89
381-382 Otitis media;Total;2,04
381-382 Otitis media;Casos ordinarios:Ambos sexos;1,45
381-382 Otitis media;Casos ordinarios:Hombres;1,44
381-382 Otitis media;Casos ordinarios:Mujeres;1,45
381-382 Otitis media;Casos urgentes:Ambos sexos;3,35
381-382 Otitis media;Casos urgentes:Hombres;3,38
381-382 Otitis media;Casos urgentes:Mujeres;3,31
Resto (380-389) Otras enfermedades del oído;Total;2,77
Resto (380-389) Otras enfermedades del oído;Casos ordinarios:Ambos sexos;1,85
Resto (380-389) Otras enfermedades del oído;Casos ordinarios:Hombres;1,85
Resto (380-389) Otras enfermedades del oído;Casos ordinarios:Mujeres;1,84
Resto (380-389) Otras enfermedades del oído;Casos urgentes:Ambos sexos;4,05
Resto (380-389) Otras enfermedades del oído;Casos urgentes:Hombres;4,09
Resto (380-389) Otras enfermedades del oído;Casos urgentes:Mujeres;4,01
390-459 VII ENFERMEDADES DEL SISTEMA CIRCULATORIO;Total;7,58
390-459 VII ENFERMEDADES DEL SISTEMA CIRCULATORIO;Casos ordinarios:Ambos sexos;6,56
390-459 VII ENFERMEDADES DEL SISTEMA CIRCULATORIO;Casos ordinarios:Hombres;6,23
390-459 VII ENFERMEDADES DEL SISTEMA CIRCULATORIO;Casos ordinarios:Mujeres;7,05
390-459 VII ENFERMEDADES DEL SISTEMA CIRCULATORIO;Casos urgentes:Ambos sexos;7,96
390-459 VII ENFERMEDADES DEL SISTEMA CIRCULATORIO;Casos urgentes:Hombres;8,01
390-459 VII ENFERMEDADES DEL SISTEMA CIRCULATORIO;Casos urgentes:Mujeres;7,90
390-392 VII.1 FIEBRE REUMÁTICA AGUDA;Total;14,93
390-392 VII.1 FIEBRE REUMÁTICA AGUDA;Casos ordinarios:Ambos sexos;13,37
390-392 VII.1 FIEBRE REUMÁTICA AGUDA;Casos ordinarios:Hombres;12,46
390-392 VII.1 FIEBRE REUMÁTICA AGUDA;Casos ordinarios:Mujeres;14,41
390-392 VII.1 FIEBRE REUMÁTICA AGUDA;Casos urgentes:Ambos sexos;15,48
390-392 VII.1 FIEBRE REUMÁTICA AGUDA;Casos urgentes:Hombres;15,77
390-392 VII.1 FIEBRE REUMÁTICA AGUDA;Casos urgentes:Mujeres;15,09
393-398 VII.2 ENFERMEDAD CARDIACA REUMÁTICA CRÓNICA;Total;11,08
393-398 VII.2 ENFERMEDAD CARDIACA REUMÁTICA CRÓNICA;Casos ordinarios:Ambos sexos;11,04
393-398 VII.2 ENFERMEDAD CARDIACA REUMÁTICA CRÓNICA;Casos ordinarios:Hombres;11,06
393-398 VII.2 ENFERMEDAD CARDIACA REUMÁTICA CRÓNICA;Casos ordinarios:Mujeres;11,03
393-398 VII.2 ENFERMEDAD CARDIACA REUMÁTICA CRÓNICA;Casos urgentes:Ambos sexos;11,15
393-398 VII.2 ENFERMEDAD CARDIACA REUMÁTICA CRÓNICA;Casos urgentes:Hombres;12,30
393-398 VII.2 ENFERMEDAD CARDIACA REUMÁTICA CRÓNICA;Casos urgentes:Mujeres;10,59
401-405 VII.3 ENFERMEDAD HIPERTENSIVA;Total;8,03
401-405 VII.3 ENFERMEDAD HIPERTENSIVA;Casos ordinarios:Ambos sexos;8,24
401-405 VII.3 ENFERMEDAD HIPERTENSIVA;Casos ordinarios:Hombres;7,26
401-405 VII.3 ENFERMEDAD HIPERTENSIVA;Casos ordinarios:Mujeres;9,37
401-405 VII.3 ENFERMEDAD HIPERTENSIVA;Casos urgentes:Ambos sexos;8,00
401-405 VII.3 ENFERMEDAD HIPERTENSIVA;Casos urgentes:Hombres;8,23
401-405 VII.3 ENFERMEDAD HIPERTENSIVA;Casos urgentes:Mujeres;7,83
410-414 VII.4 CARDIOPATÍA ISQUÉMICA;Total;6,29
410-414 VII.4 CARDIOPATÍA ISQUÉMICA;Casos ordinarios:Ambos sexos;4,52
410-414 VII.4 CARDIOPATÍA ISQUÉMICA;Casos ordinarios:Hombres;4,45
410-414 VII.4 CARDIOPATÍA ISQUÉMICA;Casos ordinarios:Mujeres;4,72
410-414 VII.4 CARDIOPATÍA ISQUÉMICA;Casos urgentes:Ambos sexos;6,90
410-414 VII.4 CARDIOPATÍA ISQUÉMICA;Casos urgentes:Hombres;6,82
410-414 VII.4 CARDIOPATÍA ISQUÉMICA;Casos urgentes:Mujeres;7,08
410 Infarto agudo de miocardio;Total;7,03
410 Infarto agudo de miocardio;Casos ordinarios:Ambos sexos;6,28
410 Infarto agudo de miocardio;Casos ordinarios:Hombres;5,99
410 Infarto agudo de miocardio;Casos ordinarios:Mujeres;7,09
410 Infarto agudo de miocardio;Casos urgentes:Ambos sexos;7,12
410 Infarto agudo de miocardio;Casos urgentes:Hombres;6,98
410 Infarto agudo de miocardio;Casos urgentes:Mujeres;7,47
411-412,414 Otras enfermedades isquémicas del corazón;Total;5,85
411-412,414 Otras enfermedades isquémicas del corazón;Casos ordinarios:Ambos sexos;4,23
411-412,414 Otras enfermedades isquémicas del corazón;Casos ordinarios:Hombres;4,19
411-412,414 Otras enfermedades isquémicas del corazón;Casos ordinarios:Mujeres;4,35
411-412,414 Otras enfermedades isquémicas del corazón;Casos urgentes:Ambos sexos;6,93
411-412,414 Otras enfermedades isquémicas del corazón;Casos urgentes:Hombres;6,89
411-412,414 Otras enfermedades isquémicas del corazón;Casos urgentes:Mujeres;7,03
413 Angina de pecho;Total;4,63
413 Angina de pecho;Casos ordinarios:Ambos sexos;2,52
413 Angina de pecho;Casos ordinarios:Hombres;2,68
413 Angina de pecho;Casos ordinarios:Mujeres;2,23
413 Angina de pecho;Casos urgentes:Ambos sexos;5,24
413 Angina de pecho;Casos urgentes:Hombres;5,21
413 Angina de pecho;Casos urgentes:Mujeres;5,27
415-417 VII.5 ENFERMEDADES DE LA CIRCULACIÓN PULMONAR;Total;8,98
415-417 VII.5 ENFERMEDADES DE LA CIRCULACIÓN PULMONAR;Casos ordinarios:Ambos sexos;9,23
415-417 VII.5 ENFERMEDADES DE LA CIRCULACIÓN PULMONAR;Casos ordinarios:Hombres;9,06
415-417 VII.5 ENFERMEDADES DE LA CIRCULACIÓN PULMONAR;Casos ordinarios:Mujeres;9,35
415-417 VII.5 ENFERMEDADES DE LA CIRCULACIÓN PULMONAR;Casos urgentes:Ambos sexos;8,95
415-417 VII.5 ENFERMEDADES DE LA CIRCULACIÓN PULMONAR;Casos urgentes:Hombres;8,71
415-417 VII.5 ENFERMEDADES DE LA CIRCULACIÓN PULMONAR;Casos urgentes:Mujeres;9,15
420-429 VII.6 OTRAS FORMAS DE ENFERMEDAD CARDIACA;Total;7,44
420-429 VII.6 OTRAS FORMAS DE ENFERMEDAD CARDIACA;Casos ordinarios:Ambos sexos;6,94
420-429 VII.6 OTRAS FORMAS DE ENFERMEDAD CARDIACA;Casos ordinarios:Hombres;6,33
420-429 VII.6 OTRAS FORMAS DE ENFERMEDAD CARDIACA;Casos ordinarios:Mujeres;7,72
420-429 VII.6 OTRAS FORMAS DE ENFERMEDAD CARDIACA;Casos urgentes:Ambos sexos;7,59
420-429 VII.6 OTRAS FORMAS DE ENFERMEDAD CARDIACA;Casos urgentes:Hombres;7,72
420-429 VII.6 OTRAS FORMAS DE ENFERMEDAD CARDIACA;Casos urgentes:Mujeres;7,47
426-427 Trastornos de conducción y disritmias cardiacas;Total;4,85
426-427 Trastornos de conducción y disritmias cardiacas;Casos ordinarios:Ambos sexos;2,83
426-427 Trastornos de conducción y disritmias cardiacas;Casos ordinarios:Hombres;2,60
426-427 Trastornos de conducción y disritmias cardiacas;Casos ordinarios:Mujeres;3,18
426-427 Trastornos de conducción y disritmias cardiacas;Casos urgentes:Ambos sexos;5,68
426-427 Trastornos de conducción y disritmias cardiacas;Casos urgentes:Hombres;5,75
426-427 Trastornos de conducción y disritmias cardiacas;Casos urgentes:Mujeres;5,60
428 Insuficiencia cardiaca;Total;8,54
428 Insuficiencia cardiaca;Casos ordinarios:Ambos sexos;11,66
428 Insuficiencia cardiaca;Casos ordinarios:Hombres;10,85
428 Insuficiencia cardiaca;Casos ordinarios:Mujeres;12,34
428 Insuficiencia cardiaca;Casos urgentes:Ambos sexos;8,16
428 Insuficiencia cardiaca;Casos urgentes:Hombres;8,35
428 Insuficiencia cardiaca;Casos urgentes:Mujeres;8,00
Resto (420-429) Otras enfermedades cardiacas;Total;9,38
Resto (420-429) Otras enfermedades cardiacas;Casos ordinarios:Ambos sexos;8,59
Resto (420-429) Otras enfermedades cardiacas;Casos ordinarios:Hombres;8,42
Resto (420-429) Otras enfermedades cardiacas;Casos ordinarios:Mujeres;8,86
Resto (420-429) Otras enfermedades cardiacas;Casos urgentes:Ambos sexos;10,31
Resto (420-429) Otras enfermedades cardiacas;Casos urgentes:Hombres;10,16
Resto (420-429) Otras enfermedades cardiacas;Casos urgentes:Mujeres;10,55
430-438 VII.7 ENFERMEDAD CEREBROVASCULAR;Total;9,65
430-438 VII.7 ENFERMEDAD CEREBROVASCULAR;Casos ordinarios:Ambos sexos;13,52
430-438 VII.7 ENFERMEDAD CEREBROVASCULAR;Casos ordinarios:Hombres;13,10
430-438 VII.7 ENFERMEDAD CEREBROVASCULAR;Casos ordinarios:Mujeres;14,01
430-438 VII.7 ENFERMEDAD CEREBROVASCULAR;Casos urgentes:Ambos sexos;8,84
430-438 VII.7 ENFERMEDAD CEREBROVASCULAR;Casos urgentes:Hombres;8,81
430-438 VII.7 ENFERMEDAD CEREBROVASCULAR;Casos urgentes:Mujeres;8,86
435 Isquemia cerebral transitoria;Total;5,13
435 Isquemia cerebral transitoria;Casos ordinarios:Ambos sexos;6,70
435 Isquemia cerebral transitoria;Casos ordinarios:Hombres;6,70
435 Isquemia cerebral transitoria;Casos ordinarios:Mujeres;6,69
435 Isquemia cerebral transitoria;Casos urgentes:Ambos sexos;5,05
435 Isquemia cerebral transitoria;Casos urgentes:Hombres;5,10
435 Isquemia cerebral transitoria;Casos urgentes:Mujeres;4,98
